drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
RALTEGRAVIR	82	38	44	-0.10772843517063647	8343	46.3
DABRAFENIB	81	55	26	0.2758962545426176	5413	67.9
DOLUTEGRAVIR	81	54	27	0.5683255921404832	10369	66.7
LURASIDONE	81	19	62	-0.5076468959660408	9800	23.5
UMECLIDINIUM	80	13	67	-1.0960026992309835	17394	16.2
VITAMIN D, UNSPECIFIED	80	31	49	-0.4538398412618686	11555	38.8
LEDIPASVIR;SOFOSBUVIR	80	68	12	0.5655927718561979	7237	85.0
THEOPHYLLINE	80	24	56	-0.5602292474219783	10727	30.0
TEMOZOLOMIDE	79	54	25	0.31080695805845304	8162	68.4
FELODIPINE	79	6	73	-1.1994191979588815	15738	7.6
VITAMIN D2	79	40	39	-0.25939848958473327	30744	50.6
PIRFENIDONE	79	35	44	-0.08154812561196506	7005	44.3
TRAMETINIB	79	44	35	0.09130876038870156	5239	55.7
FLUTICASONE;UMECLIDINIUM;VILANTEROL	79	12	67	-0.8204433814595027	9603	15.2
DASATINIB	79	47	32	0.1506424887687853	5452	59.5
DESOXIMETASONE	79	34	45	-0.9052775816575042	117813	43.0
TEDUGLUTIDE	78	43	35	0.011660324259796765	7408	55.1
DEXLANSOPRAZOLE	78	40	38	-0.20518509085666567	10511	51.3
HYDROCHLOROTHIAZIDE;VALSARTAN	78	41	37	-0.030970000441948402	4793	52.6
HYDROXYZINE	78	50	28	0.24611206659863574	7876	64.1
DULAGLUTIDE	77	21	56	-0.3413985240629525	9143	27.3
TERIFLUNOMIDE	77	6	71	-0.6585749212581794	20243	7.8
VITAMIN C	77	49	28	0.4766300906239331	48188	63.6
SENNA SPP	76	40	36	0.08278673004460453	14040	52.6
IPRATROPIUM;SALBUTAMOL	76	23	53	-0.42905187876393047	6692	30.3
VITAMIN B3	76	66	10	1.2219361048865232	17013	86.8
SORAFENIB	76	61	15	0.5606114481809548	7364	80.3
HYDROCODONE	76	52	24	0.3337850039979288	16226	68.4
ELTROMBOPAG	75	52	23	0.27608397594978845	5697	69.3
SOFOSBUVIR	75	61	14	0.5188661159054344	8437	81.3
SULFAMETHOXAZOLE	75	43	32	0.34326966452606883	44905	57.3
CYCLOBENZAPRINE	75	53	22	0.7045967285511706	19383	70.7
VITAMIN B12	74	54	20	0.4761296148425964	11758	73.0
COLCHICINE	74	59	15	0.5979891843476511	5736	79.7
KETAMINE	74	52	22	0.48933746724979715	9624	70.3
RIVASTIGMINE	74	28	46	-0.2173629751221124	7290	37.8
AZITHROMYCIN ANHYDROUS	74	46	28	0.147370019515998	11403	62.2
OBINUTUZUMAB	74	53	21	0.39366464290057757	5609	71.6
AMIKACIN	73	42	31	0.09618282535828725	6317	57.5
TELMISARTAN	73	37	36	0.012119318025190205	7027	50.7
CETUXIMAB	72	41	31	0.12397723898433803	6299	56.9
ENALAPRIL	72	48	24	0.38835420701763224	7864	66.7
EPIRUBICIN	72	24	48	-0.3684416551471319	12484	33.3
TEMAZEPAM	71	36	35	0.19367927340899294	12378	50.7
BUPIVACAINE	71	13	58	-0.6095853729103498	5969	18.3
DIGOXIN	70	31	39	-0.10879110600516625	9570	44.3
REGORAFENIB	70	52	18	0.40606963792519785	5668	74.3
GLUCOSE	70	14	56	-0.9872841013224652	8744	20.0
INTERFERON BETA-1B	70	4	66	-0.6876475913306302	10488	5.7
CANAGLIFLOZIN	69	42	27	0.14887620871797638	13855	60.9
POSACONAZOLE	69	62	7	0.6882356740257672	4114	89.9
UMECLIDINIUM;VILANTEROL	68	15	53	-0.7092043740227758	7682	22.1
PIMAVANSERIN	68	25	43	-0.15080046204443037	6401	36.8
ERENUMAB	68	54	14	0.7508890640169069	60536	79.4
PONATINIB	68	57	11	0.4969594566055503	5266	83.8
