adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Nephrogenic diabetes insipidus	2	2	2	0	100.000	0.752	0.752	0.788	339
Yawning	2	2	2	0	100.000	0.629	0.629	0.657	182
Application site discharge	2	2	0	2	0.000	1.279	1.279	1.619	87
Pulmonary hypertensive crisis	2	2	1	1	50.000	1.010	1.010	1.336	72
Alcohol use	2	2	2	0	100.000	0.779	0.779	0.820	63
Cat scratch disease	2	2	0	2	0.000	0.713	0.713	0.766	166
Cataplexy	2	2	0	2	0.000	0.658	0.658	0.771	126
Renal cortical necrosis	2	2	1	1	50.000	0.754	0.754	0.758	58
Pseudomeningocele	2	2	1	1	50.000	1.310	1.310	1.392	63
Trisomy 21	2	2	1	1	50.000	0.762	0.762	0.846	90
Anti-erythropoietin antibody negative	2	2	2	0	100.000	0.936	0.936	1.068	72
Cardioactive drug level increased	2	2	1	1	50.000	0.762	0.762	0.872	127
Urine output increased	2	2	1	1	50.000	0.626	0.626	0.723	89
Xerosis	2	2	1	1	50.000	0.595	0.595	0.597	88
Anterior chamber inflammation	2	2	1	1	50.000	0.762	0.762	0.786	73
Viral load decreased	2	2	2	0	100.000	0.916	0.916	0.942	77
Pharmaceutical nomadism	2	2	1	1	50.000	1.591	1.591	2.032	222
Pneumonia streptococcal	2	2	0	2	0.000	1.684	1.684	1.945	79
Catheter site inflammation	2	2	0	2	0.000	0.829	0.829	0.926	91
Neonatal asphyxia	2	2	2	0	100.000	0.676	0.676	0.716	76
Pharyngeal disorder	2	2	0	2	0.000	0.620	0.620	0.664	79
Palatal oedema	2	2	1	1	50.000	0.605	0.605	0.609	128
Trichophytosis	2	2	2	0	100.000	1.013	1.013	1.078	129
Vitamin B12 increased	2	2	0	2	0.000	0.922	0.922	1.146	75
Pharyngeal erythema	2	2	0	2	0.000	1.336	1.336	1.350	53
Cardiac septal defect	2	2	0	2	0.000	1.058	1.058	1.324	106
Pharyngeal haemorrhage	2	2	2	0	100.000	0.760	0.760	0.991	71
Osteoradionecrosis	2	2	2	0	100.000	1.100	1.100	1.281	101
Pneumococcal sepsis	2	2	2	0	100.000	0.715	0.715	0.806	70
Neuroendocrine tumour	2	2	1	1	50.000	0.672	0.672	0.705	65
Application site warmth	2	2	0	2	0.000	0.880	0.880	1.211	58
Osteosarcoma	2	2	1	1	50.000	0.800	0.800	0.887	84
Abdominal operation	2	2	0	2	0.000	0.613	0.613	0.689	143
Otitis externa	2	2	1	1	50.000	0.531	0.531	0.540	65
Neurodermatitis	2	2	0	2	0.000	0.792	0.792	1.065	49
Blood iron increased	2	2	1	1	50.000	0.770	0.770	0.908	128
Urinary tract infection pseudomonal	2	2	2	0	100.000	0.792	0.792	0.949	81
Application site paraesthesia	2	2	0	2	0.000	1.135	1.135	1.171	147
Overlap syndrome	2	2	1	1	50.000	0.902	0.902	1.263	97
Otorrhoea	2	2	0	2	0.000	0.882	0.882	0.980	76
Product closure removal difficult	2	2	1	1	50.000	0.906	0.906	1.188	132
Osmotic demyelination syndrome	2	2	1	1	50.000	0.833	0.833	0.910	98
Acne pustular	2	2	0	2	0.000	0.683	0.683	0.769	523
Borderline personality disorder	2	2	1	1	50.000	0.669	0.669	0.696	67
Oesophageal obstruction	2	2	1	1	50.000	0.928	0.928	1.124	90
Adenocarcinoma gastric	2	2	0	2	0.000	1.143	1.143	1.364	56
Oesophageal stenosis	2	2	1	1	50.000	0.815	0.815	0.884	133
Vascular occlusion	2	2	1	1	50.000	0.582	0.582	0.617	97
Bowen's disease	2	2	2	0	100.000	0.771	0.771	0.849	78
Rectal abscess	2	2	2	0	100.000	0.597	0.597	0.671	247
Bone swelling	2	2	0	2	0.000	0.931	0.931	1.351	207
Bladder discomfort	2	2	0	2	0.000	0.916	0.916	1.313	65
Anaemia postoperative	2	2	1	1	50.000	0.954	0.954	1.122	629
Rectal polyp	2	2	1	1	50.000	0.704	0.704	0.861	151
Bone neoplasm	2	2	1	1	50.000	0.709	0.709	0.819	55
Anaemia of chronic disease	2	2	0	2	0.000	1.272	1.272	1.343	53
Pyuria	2	2	1	1	50.000	0.679	0.679	0.777	52
Bone marrow infiltration	2	2	0	2	0.000	1.265	1.265	1.601	77
Brain contusion	2	2	1	1	50.000	0.532	0.532	0.535	96
Anaesthetic complication neurological	2	2	0	2	0.000	0.854	0.854	1.104	185
Precancerous cells present	2	2	0	2	0.000	0.914	0.914	0.939	441
Oesophageal haemorrhage	2	2	2	0	100.000	0.667	0.667	0.670	109
Rectal tenesmus	2	2	1	1	50.000	1.009	1.009	1.127	182
Patient uncooperative	2	2	2	0	100.000	0.890	0.890	0.988	65
Pyomyositis	2	2	2	0	100.000	1.214	1.214	1.545	82
Anal cancer	2	2	1	1	50.000	0.542	0.542	0.565	205
Product expiration date issue	2	2	0	2	0.000	0.714	0.714	0.857	78
Unintentional medical device removal	2	2	0	2	0.000	1.179	1.179	1.439	8508
Acute myeloid leukaemia refractory	2	2	2	0	100.000	0.764	0.764	1.023	82
Oedematous kidney	2	2	2	0	100.000	0.742	0.742	0.877	61
Pelvic abscess	2	2	0	2	0.000	1.074	1.074	1.180	109
Oedema mucosal	2	2	0	2	0.000	1.006	1.006	1.090	77
Bile duct stone	2	2	0	2	0.000	0.672	0.672	0.843	101
Body height increased	2	2	1	1	50.000	0.766	0.766	0.862	79
Brain operation	2	2	0	2	0.000	0.973	0.973	0.982	108
Anaemia megaloblastic	2	2	1	1	50.000	0.574	0.574	0.603	89
Pre-engraftment immune reaction	2	2	2	0	100.000	2.406	2.406	2.590	93
Oral mucosal erythema	2	2	0	2	0.000	0.618	0.618	0.661	100
Opisthotonus	2	2	1	1	50.000	0.582	0.582	0.616	51
Parathyroid disorder	2	2	0	2	0.000	0.900	0.900	1.032	63
Ureterolithiasis	2	2	1	1	50.000	0.822	0.822	0.953	73
Pouchitis	2	2	1	1	50.000	0.797	0.797	1.092	143
Bone contusion	2	2	0	2	0.000	0.859	0.859	0.925	88
Oral administration complication	2	2	1	1	50.000	0.853	0.853	1.009	509
Parathyroid tumour malignant	2	2	1	1	50.000	1.327	1.327	1.837	86
Parathyroidectomy	2	2	0	2	0.000	0.874	0.874	1.032	91
American trypanosomiasis	2	2	0	2	0.000	0.771	0.771	0.840	107
Optic nerve injury	2	2	0	2	0.000	0.660	0.660	0.790	64
Rectal discharge	2	2	0	2	0.000	0.685	0.685	0.800	249
Basedow's disease	2	2	0	2	0.000	0.939	0.939	1.337	70
Adrenal disorder	2	2	1	1	50.000	0.567	0.567	0.622	164
Optic ischaemic neuropathy	2	2	2	0	100.000	0.736	0.736	0.935	57
Amnestic disorder	2	2	0	2	0.000	0.869	0.869	1.142	133
Vascular device occlusion	2	2	1	1	50.000	1.010	1.010	1.169	127
Oncologic complication	2	2	2	0	100.000	0.717	0.717	0.772	65
Ophthalmoplegia	2	2	0	2	0.000	1.167	1.167	1.286	46
Parkinsonism hyperpyrexia syndrome	2	2	1	1	50.000	0.839	0.839	1.083	120
Bacterial translocation	2	2	2	0	100.000	1.149	1.149	1.307	59
Ophthalmic herpes simplex	2	2	0	2	0.000	1.078	1.078	1.106	97
Open reduction of fracture	2	2	0	2	0.000	2.047	2.047	2.149	432
Postoperative wound complication	2	2	0	2	0.000	1.164	1.164	1.350	57
Paroxysmal nocturnal haemoglobinuria	2	2	2	0	100.000	0.644	0.644	0.763	93
Prothrombin time shortened	2	2	2	0	100.000	0.751	0.751	0.980	85
Weight bearing difficulty	2	2	1	1	50.000	0.821	0.821	1.026	111
Bacterial disease carrier	2	2	1	1	50.000	0.801	0.801	1.079	93
Rectal adenocarcinoma	2	2	2	0	100.000	0.711	0.711	0.742	71
Body temperature abnormal	2	2	0	2	0.000	0.686	0.686	0.823	44
Parvovirus infection	2	2	0	2	0.000	0.711	0.711	0.734	64
Oral mucosal eruption	2	2	0	2	0.000	0.930	0.930	1.164	81
Brain stem haemorrhage	2	2	2	0	100.000	0.829	0.829	1.136	51
Pelvic haematoma	2	2	2	0	100.000	0.740	0.740	0.940	99
B-cell lymphoma recurrent	2	2	2	0	100.000	0.668	0.668	0.830	80
Bursitis infective	2	2	2	0	100.000	0.735	0.735	0.781	125
Periorbital haematoma	2	2	1	1	50.000	0.874	0.874	1.150	81
Poor personal hygiene	2	2	2	0	100.000	0.869	0.869	1.085	46
Auditory disorder	2	2	2	0	100.000	0.596	0.596	0.649	126
Precocious puberty	2	2	2	0	100.000	1.644	1.644	2.328	91
Oropharyngeal spasm	2	2	1	1	50.000	0.752	0.752	0.980	52
Atypical fracture	2	2	0	2	0.000	1.966	1.966	3.049	314
Bronchopulmonary dysplasia	2	2	1	1	50.000	0.609	0.609	0.711	73
Bronchostenosis	2	2	2	0	100.000	0.575	0.575	0.597	48
Premature delivery	2	2	0	2	0.000	1.397	1.397	1.462	1027
Actinomycosis	2	2	0	2	0.000	0.966	0.966	1.003	165
Puncture site haemorrhage	2	2	2	0	100.000	0.727	0.727	0.878	59
Nonspecific reaction	2	2	2	0	100.000	0.569	0.569	0.606	173
Angioimmunoblastic T-cell lymphoma	2	2	1	1	50.000	0.904	0.904	1.023	99
Refractory anaemia with an excess of blasts	2	2	2	0	100.000	1.209	1.209	1.228	74
Non-infectious endophthalmitis	2	2	1	1	50.000	0.659	0.659	0.712	101
Bronchitis bacterial	2	2	0	2	0.000	0.537	0.537	0.539	73
Vocal cord paralysis	2	2	1	1	50.000	0.858	0.858	0.910	83
Tympanic membrane perforation	2	2	0	2	0.000	0.614	0.614	0.644	99
Peripheral circulatory failure	2	2	1	1	50.000	0.737	0.737	0.743	78
Non-cirrhotic portal hypertension	2	2	2	0	100.000	1.182	1.182	1.704	152
Bell's palsy	2	2	0	2	0.000	0.706	0.706	0.772	67
Pancreatic mass	2	2	1	1	50.000	0.615	0.615	0.630	82
Atrial thrombosis	2	2	2	0	100.000	0.842	0.842	1.158	73
White blood cells urine positive	2	2	1	1	50.000	0.758	0.758	0.762	329
Atrial septal defect repair	2	2	0	2	0.000	0.607	0.607	0.674	75
Atopy	2	2	0	2	0.000	0.608	0.608	0.638	127
Refractory cytopenia with multilineage dysplasia	2	2	2	0	100.000	0.992	0.992	1.452	55
Tunnel vision	2	2	1	1	50.000	1.107	1.107	1.574	102
Angiosarcoma	2	2	2	0	100.000	0.860	0.860	1.090	76
Peripheral nerve injury	2	2	0	2	0.000	0.698	0.698	0.809	70
Nuclear magnetic resonance imaging brain abnormal	2	2	1	1	50.000	0.623	0.623	0.691	61
Vaccination failure	2	2	0	2	0.000	0.849	0.849	0.931	80
Underweight	2	2	0	2	0.000	0.563	0.563	0.588	43
Acute leukaemia	2	2	2	0	100.000	0.846	0.846	1.020	75
Wisdom teeth removal	2	2	0	2	0.000	0.680	0.680	0.714	113
Blunted affect	2	2	2	0	100.000	0.653	0.653	0.699	70
Anal inflammation	2	2	0	2	0.000	0.597	0.597	0.623	77
Weight abnormal	2	2	0	2	0.000	1.033	1.033	1.097	60
Ocular surface disease	2	2	0	2	0.000	0.691	0.691	0.831	83
Product label issue	2	2	1	1	50.000	1.127	1.127	1.462	111
Recall phenomenon	2	2	1	1	50.000	1.545	1.545	1.894	108
Anal ulcer	2	2	2	0	100.000	0.658	0.658	0.668	78
Analgesic drug level increased	2	2	0	2	0.000	0.709	0.709	0.769	56
Autoimmune nephritis	2	2	2	0	100.000	0.692	0.692	0.722	93
Biliary sepsis	2	2	2	0	100.000	0.927	0.927	1.256	67
Umbilical cord around neck	2	2	0	2	0.000	1.436	1.436	1.536	49
Blood chloride decreased	2	2	1	1	50.000	0.799	0.799	1.033	77
Post inflammatory pigmentation change	2	2	0	2	0.000	1.323	1.323	1.440	72
Porphyria acute	2	2	1	1	50.000	1.194	1.194	1.537	195
Periorbital cellulitis	2	2	0	2	0.000	0.659	0.659	0.749	50
Product package associated injury	2	2	0	2	0.000	0.577	0.577	0.641	190
Occult blood	2	2	1	1	50.000	0.760	0.760	0.884	104
Perineal abscess	2	2	1	1	50.000	0.665	0.665	0.670	84
Oropharyngeal candidiasis	2	2	1	1	50.000	0.676	0.676	0.755	50
Obstruction gastric	2	2	0	2	0.000	0.858	0.858	1.176	58
Bloody discharge	2	2	1	1	50.000	0.730	0.730	0.803	194
Breast swelling	2	2	0	2	0.000	0.990	0.990	1.328	81
Product packaging difficult to open	2	2	0	2	0.000	0.787	0.787	0.787	101
Acute hepatitis B	2	2	2	0	100.000	0.961	0.961	1.260	53
Breast tenderness	2	2	0	2	0.000	0.868	0.868	0.951	127
Vomiting projectile	2	2	0	2	0.000	0.797	0.797	0.971	52
Binge eating	2	2	0	2	0.000	0.676	0.676	0.697	84
Adrenal mass	2	2	0	2	0.000	0.690	0.690	0.735	63
Blood viscosity increased	2	2	1	1	50.000	0.738	0.738	0.788	59
Ultrafiltration failure	2	2	2	0	100.000	0.711	0.711	0.713	1801
Hypereosinophilic syndrome	2	2	1	1	50.000	0.738	0.738	0.822	75
Traumatic lung injury	2	2	1	1	50.000	0.559	0.559	0.605	131
Erosive oesophagitis	2	2	1	1	50.000	0.810	0.810	0.940	62
Faeces pale	2	2	2	0	100.000	0.635	0.635	0.735	79
International normalised ratio decreased	2	2	2	0	100.000	0.979	0.979	1.168	100
Sensitivity of teeth	2	2	0	2	0.000	0.741	0.741	0.761	139
Face injury	2	2	2	0	100.000	0.649	0.649	0.674	117
Intestinal angioedema	2	2	1	1	50.000	0.786	0.786	0.858	294
Sensation of heaviness	2	2	0	2	0.000	1.141	1.141	1.524	216
Intestinal fistula	2	2	1	1	50.000	0.759	0.759	0.895	54
Self-consciousness	2	2	0	2	0.000	1.380	1.380	1.679	84
Eye ulcer	2	2	0	2	0.000	0.764	0.764	0.872	77
Intestinal resection	2	2	0	2	0.000	0.752	0.752	0.867	129
Eye infection toxoplasmal	2	2	2	0	100.000	1.610	1.610	1.885	103
Sudden onset of sleep	2	2	0	2	0.000	0.917	0.917	0.932	104
Seizure like phenomena	2	2	0	2	0.000	0.723	0.723	0.854	70
Intra-abdominal fluid collection	2	2	1	1	50.000	0.693	0.693	0.751	56
Seizure cluster	2	2	2	0	100.000	0.790	0.790	0.866	73
Intracranial aneurysm	2	2	0	2	0.000	1.242	1.242	1.610	69
Intracranial haematoma	2	2	2	0	100.000	0.995	0.995	1.018	83
Intramedullary rod insertion	2	2	0	2	0.000	1.865	1.865	2.138	1063
Extradural abscess	2	2	1	1	50.000	1.086	1.086	1.485	83
Exposure via eye contact	2	2	0	2	0.000	0.657	0.657	0.763	50
Superficial vein thrombosis	2	2	0	2	0.000	1.102	1.102	1.502	71
Exostosis of jaw	2	2	0	2	0.000	1.110	1.110	1.638	307
Supine hypertension	2	2	2	0	100.000	1.054	1.054	1.281	154
Ischaemic hepatitis	2	2	2	0	100.000	0.767	0.767	0.950	53
Surgical failure	2	2	1	1	50.000	0.714	0.714	0.775	124
Eustachian tube dysfunction	2	2	0	2	0.000	1.355	1.355	1.895	119
Jaw fistula	2	2	0	2	0.000	1.449	1.449	2.370	89
Subcutaneous drug absorption impaired	2	2	0	2	0.000	1.399	1.399	1.860	109
False positive tuberculosis test	2	2	1	1	50.000	0.616	0.616	0.666	92
Fear of falling	2	2	0	2	0.000	0.841	0.841	0.899	73
Serum ferritin decreased	2	2	0	2	0.000	0.806	0.806	1.009	73
Fungal peritonitis	2	2	2	0	100.000	1.086	1.086	1.292	487
Fungal foot infection	2	2	0	2	0.000	0.680	0.680	0.703	51
Stoma creation	2	2	1	1	50.000	0.671	0.671	0.723	178
Stoma site haemorrhage	2	2	2	0	100.000	0.528	0.528	0.540	122
Fracture delayed union	2	2	0	2	0.000	0.631	0.631	0.758	368
Foreign body in throat	2	2	0	2	0.000	1.230	1.230	1.575	68
Foreign body in respiratory tract	2	2	0	2	0.000	0.717	0.717	0.801	66
Forced vital capacity decreased	2	2	1	1	50.000	0.631	0.631	0.682	142
Injection site oedema	2	2	0	2	0.000	1.039	1.039	1.525	63
Stoma site ulcer	2	2	1	1	50.000	0.696	0.696	0.730	85
Food refusal	2	2	2	0	100.000	0.754	0.754	0.794	68
Folate deficiency	2	2	1	1	50.000	0.565	0.565	0.591	174
Foetal heart rate decreased	2	2	0	2	0.000	2.023	2.023	3.082	68
Feeding disorder neonatal	2	2	1	1	50.000	0.693	0.693	0.714	98
Foetal exposure timing unspecified	2	2	0	2	0.000	0.593	0.593	0.663	61
Streptococcus test positive	2	2	1	1	50.000	0.640	0.640	0.695	62
Instillation site discharge	2	2	1	1	50.000	1.372	1.372	1.475	151
Instillation site irritation	2	2	0	2	0.000	0.961	0.961	1.319	139
Serous retinopathy	2	2	2	0	100.000	0.795	0.795	0.929	69
Sequestrectomy	2	2	0	2	0.000	1.250	1.250	1.358	134
Fistula discharge	2	2	0	2	0.000	0.960	0.960	0.996	173
Intensive care	2	2	2	0	100.000	0.536	0.536	0.545	63
Intentional device misuse	2	2	1	1	50.000	0.506	0.506	0.510	112
Fibrosis	2	2	2	0	100.000	0.940	0.940	0.968	110
Intentional medical device removal by patient	2	2	0	2	0.000	1.506	1.506	2.428	393
Feelings of worthlessness	2	2	0	2	0.000	0.981	0.981	1.359	72
Jaw operation	2	2	0	2	0.000	0.957	0.957	1.331	161
Epstein-Barr virus test positive	2	2	1	1	50.000	0.556	0.556	0.593	77
Diplegia	2	2	0	2	0.000	0.612	0.612	0.709	61
Joint warmth	2	2	0	2	0.000	0.681	0.681	0.855	256
Dyshidrotic eczema	2	2	1	1	50.000	1.000	1.000	1.288	168
Dysentery	2	2	1	1	50.000	0.881	0.881	1.136	117
Ligament disorder	2	2	0	2	0.000	1.007	1.007	1.190	76
Ligament injury	2	2	0	2	0.000	1.102	1.102	1.455	158
Ligament pain	2	2	0	2	0.000	0.700	0.700	0.813	74
Ductus arteriosus premature closure	2	2	1	1	50.000	0.764	0.764	0.791	99
Light chain analysis abnormal	2	2	2	0	100.000	0.742	0.742	0.967	50
Telangiectasia	2	2	0	2	0.000	0.684	0.684	0.858	55
Limb asymmetry	2	2	0	2	0.000	0.917	0.917	1.059	89
Drug tolerance increased	2	2	2	0	100.000	0.732	0.732	0.826	92
Salmonellosis	2	2	2	0	100.000	0.686	0.686	0.766	62
Limbic encephalitis	2	2	2	0	100.000	0.849	0.849	1.027	52
Lip blister	2	2	0	2	0.000	0.714	0.714	0.906	69
Lip exfoliation	2	2	0	2	0.000	0.809	0.809	0.893	100
Lip ulceration	2	2	2	0	100.000	0.673	0.673	0.731	184
Sacral pain	2	2	1	1	50.000	0.548	0.548	0.566	128
Drug dispensed to wrong patient	2	2	0	2	0.000	0.610	0.610	0.631	48
SARS-CoV-2 test negative	2	2	0	2	0.000	1.435	1.435	1.915	75
Tendon injury	2	2	0	2	0.000	0.567	0.567	0.615	46
Drowning	2	2	1	1	50.000	0.798	0.798	1.012	63
Disturbance in sexual arousal	2	2	2	0	100.000	0.716	0.716	0.767	146
Teratoma	2	2	2	0	100.000	0.811	0.811	0.935	98
Disseminated varicella zoster vaccine virus infection	2	2	2	0	100.000	0.878	0.878	1.015	44
Disseminated toxoplasmosis	2	2	2	0	100.000	0.698	0.698	0.866	72
Terminal insomnia	2	2	0	2	0.000	1.281	1.281	1.716	83
Loss of employment	2	2	2	0	100.000	1.604	1.604	2.518	160
Discouragement	2	2	1	1	50.000	0.954	0.954	1.275	71
Leukocyturia	2	2	1	1	50.000	1.267	1.267	1.317	128
Dyspareunia	2	2	0	2	0.000	4.153	4.153	4.989	2167
Dyspnoea paroxysmal nocturnal	2	2	0	2	0.000	0.846	0.846	0.983	77
Endarterectomy	2	2	0	2	0.000	0.702	0.702	0.753	78
Judgement impaired	2	2	2	0	100.000	0.903	0.903	1.182	72
Eosinophilic pneumonia chronic	2	2	1	1	50.000	0.683	0.683	0.850	114
Eosinophilic oesophagitis	2	2	1	1	50.000	0.832	0.832	0.837	65
Eosinophilic myocarditis	2	2	1	1	50.000	0.727	0.727	0.909	86
Ketonuria	2	2	2	0	100.000	0.726	0.726	0.772	153
Ketosis	2	2	2	0	100.000	0.636	0.636	0.675	124
Enzyme level increased	2	2	0	2	0.000	1.010	1.010	1.063	48
Central nervous system leukaemia	2	2	2	0	100.000	1.179	1.179	1.399	134
Enterobacter bacteraemia	2	2	2	0	100.000	0.779	0.779	0.936	58
Enteritis infectious	2	2	2	0	100.000	1.125	1.125	1.130	82
Endocrine ophthalmopathy	2	2	0	2	0.000	1.347	1.347	1.427	244
Laboratory test interference	2	2	1	1	50.000	0.724	0.724	0.912	72
Encapsulating peritoneal sclerosis	2	2	2	0	100.000	1.091	1.091	1.330	59
T-cell lymphoma refractory	2	2	2	0	100.000	1.522	1.522	1.528	46
Lactose intolerance	2	2	0	2	0.000	0.796	0.796	0.913	49
Lacunar infarction	2	2	2	0	100.000	0.728	0.728	0.929	57
Scleroderma renal crisis	2	2	1	1	50.000	0.819	0.819	0.967	62
Emphysematous pyelonephritis	2	2	2	0	100.000	0.780	0.780	0.922	120
Language disorder	2	2	1	1	50.000	0.863	0.863	1.165	59
Embolia cutis medicamentosa	2	2	0	2	0.000	1.562	1.562	2.045	131
Electrocardiogram T wave peaked	2	2	2	0	100.000	1.017	1.017	1.234	55
Electrocardiogram T wave inversion	2	2	0	2	0.000	0.861	0.861	1.033	59
Elbow operation	2	2	0	2	0.000	0.808	0.808	0.982	104
Eczema herpeticum	2	2	1	1	50.000	0.989	0.989	1.037	88
Eastern Cooperative Oncology Group performance status worsened	2	2	1	1	50.000	0.697	0.697	0.794	82
Left atrial dilatation	2	2	1	1	50.000	0.900	0.900	0.936	86
Injection site erosion	2	2	0	2	0.000	1.288	1.288	1.703	72
Gadolinium deposition disease	2	2	0	2	0.000	0.881	0.881	1.165	77
Stillbirth	2	2	1	1	50.000	3.065	3.065	5.540	418
Injection site coldness	2	2	0	2	0.000	1.169	1.169	1.266	78
Heart injury	2	2	2	0	100.000	0.892	0.892	1.089	151
Hypouricaemia	2	2	2	0	100.000	0.918	0.918	0.983	127
Spinal column injury	2	2	2	0	100.000	1.258	1.258	1.468	255
Head titubation	2	2	0	2	0.000	0.661	0.661	0.781	77
Hand-foot-and-mouth disease	2	2	1	1	50.000	1.314	1.314	1.381	105
Hallucination, olfactory	2	2	0	2	0.000	0.569	0.569	0.609	53
Haemorrhagic infarction	2	2	1	1	50.000	0.936	0.936	1.313	84
Ileal perforation	2	2	1	1	50.000	0.611	0.611	0.646	91
Haemorrhagic cerebral infarction	2	2	2	0	100.000	0.917	0.917	1.291	62
Spinal cord haemorrhage	2	2	2	0	100.000	0.614	0.614	0.636	69
Haemorrhage urinary tract	2	2	2	0	100.000	0.818	0.818	0.912	52
Haemangioma congenital	2	2	0	2	0.000	0.950	0.950	1.213	74
Haemangioma	2	2	0	2	0.000	0.735	0.735	0.854	70
Immune-mediated adverse reaction	2	2	2	0	100.000	0.671	0.671	0.741	54
Immune-mediated arthritis	2	2	2	0	100.000	0.795	0.795	1.030	193
Immune-mediated cholangitis	2	2	2	0	100.000	0.991	0.991	1.280	140
HLA-B*27 positive	2	2	1	1	50.000	0.779	0.779	1.030	63
Immune-mediated endocrinopathy	2	2	1	1	50.000	1.506	1.506	2.184	98
Guttate psoriasis	2	2	0	2	0.000	0.609	0.609	0.677	101
Immune-mediated hyperthyroidism	2	2	1	1	50.000	1.559	1.559	2.317	181
Spinal fusion acquired	2	2	0	2	0.000	0.901	0.901	0.943	139
Spinal instability	2	2	0	2	0.000	2.142	2.142	2.869	132
Groin infection	2	2	1	1	50.000	0.807	0.807	1.071	65
Immune-mediated necrotising myopathy	2	2	2	0	100.000	0.784	0.784	1.066	116
Spinal laminectomy	2	2	0	2	0.000	0.791	0.791	0.839	129
Granulomatous dermatitis	2	2	0	2	0.000	0.804	0.804	0.946	54
Immune-mediated pancreatitis	2	2	2	0	100.000	0.875	0.875	0.970	186
Skin sensitisation	2	2	0	2	0.000	0.745	0.745	0.768	96
Helicobacter gastritis	2	2	1	1	50.000	0.633	0.633	0.661	84
Skin striae	2	2	0	2	0.000	0.872	0.872	1.022	105
Hepatorenal failure	2	2	1	1	50.000	0.743	0.743	0.951	59
Hypercoagulation	2	2	0	2	0.000	0.722	0.722	0.898	80
Hyperchlorhydria	2	2	1	1	50.000	0.921	0.921	0.927	57
Small fibre neuropathy	2	2	0	2	0.000	0.693	0.693	0.876	172
Hungry bone syndrome	2	2	1	1	50.000	1.078	1.078	1.504	93
Hypermetropia	2	2	0	2	0.000	0.975	0.975	1.085	94
Human rhinovirus test positive	2	2	2	0	100.000	0.727	0.727	0.803	45
Human herpesvirus 6 encephalitis	2	2	1	1	50.000	0.825	0.825	0.896	77
Small intestine carcinoma	2	2	1	1	50.000	0.760	0.760	0.825	1444
Sleep deficit	2	2	1	1	50.000	0.655	0.655	0.686	84
Hypertensive heart disease	2	2	2	0	100.000	0.837	0.837	0.858	161
Herpes zoster disseminated	2	2	1	1	50.000	0.799	0.799	0.888	66
Hyperviscosity syndrome	2	2	2	0	100.000	0.997	0.997	1.481	71
Hepatitis viral	2	2	1	1	50.000	0.998	0.998	1.330	90
Hyporesponsive to stimuli	2	2	2	0	100.000	0.671	0.671	0.734	70
Hypoaldosteronism	2	2	2	0	100.000	0.906	0.906	1.050	69
Hepatitis B virus test positive	2	2	0	2	0.000	0.752	0.752	0.812	103
Soft tissue disorder	2	2	2	0	100.000	1.269	1.269	1.446	254
Hypogeusia	2	2	2	0	100.000	0.968	0.968	1.330	63
Hypoglycaemic encephalopathy	2	2	2	0	100.000	1.342	1.342	1.748	93
Hepatic mass	2	2	1	1	50.000	0.849	0.849	1.084	80
Hepatic cancer stage IV	2	2	2	0	100.000	0.658	0.658	0.736	3494
Hypoperfusion	2	2	2	0	100.000	0.666	0.666	0.807	65
Heparin resistance	2	2	1	1	50.000	1.135	1.135	1.718	91
Hypophosphataemic osteomalacia	2	2	2	0	100.000	1.376	1.376	2.177	78
Hemianopia	2	2	0	2	0.000	1.078	1.078	1.218	111
Skin texture abnormal	2	2	0	2	0.000	0.777	0.777	0.937	145
Skin induration	2	2	0	2	0.000	0.666	0.666	0.681	69
Skin hypopigmentation	2	2	0	2	0.000	0.599	0.599	0.630	95
Graft versus host disease in eye	2	2	1	1	50.000	0.564	0.564	0.599	71
Infusion site discolouration	2	2	1	1	50.000	0.515	0.515	0.519	239
Gastrointestinal fungal infection	2	2	1	1	50.000	0.775	0.775	0.825	62
Infective aneurysm	2	2	2	0	100.000	2.022	2.022	2.248	127
Infective exacerbation of chronic obstructive airways disease	2	2	1	1	50.000	0.922	0.922	1.252	78
Infective pulmonary exacerbation of cystic fibrosis	2	2	0	2	0.000	1.385	1.385	1.832	75
Gastrointestinal bacterial infection	2	2	0	2	0.000	0.775	0.775	1.029	101
Staphylococcal skin infection	2	2	0	2	0.000	0.636	0.636	0.664	62
Gastroenteritis salmonella	2	2	0	2	0.000	0.601	0.601	0.641	105
Gastroenteritis rotavirus	2	2	1	1	50.000	0.767	0.767	0.848	55
Gastric ulcer perforation	2	2	1	1	50.000	0.677	0.677	0.730	61
Infusion site abscess	2	2	1	1	50.000	0.760	0.760	0.811	265
Sinonasal obstruction	2	2	0	2	0.000	1.148	1.148	1.306	62
Infusion site discharge	2	2	0	2	0.000	0.666	0.666	0.681	130
Infusion site discomfort	2	2	0	2	0.000	0.707	0.707	0.885	345
Sputum retention	2	2	1	1	50.000	0.704	0.704	0.715	101
