drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
DICLOFENAC	Liver injury	3.671	2141	31	61.973	1.578	female_higher	3.671
HYDROCORTISONE	Delirium	3.670	586	14	37.627	0.958	female_higher	3.670
PREDNISONE	Injury	3.667	2108	37	9.892	0.253	female_higher	3.667
FENTANYL	Pelvic pain	-3.665	10	52	0.214	8.374	male_higher	3.665
SULFAMETHOXAZOLE;TRIMETHOPRIM	Road traffic accident	3.664	591	14	16.487	0.422	female_higher	3.664
DESOXIMETASONE	Impaired work ability	-3.664	37	48	4.017	156.770	male_higher	3.664
HYDROXYCHLOROQUINE	Infusion related reaction	3.664	4507	27	43.381	1.112	female_higher	3.664
ROFECOXIB	Insomnia	-3.664	10	69	0.765	29.839	male_higher	3.664
HYDROCORTISONE	Obesity	3.661	738	18	101.541	2.611	female_higher	3.661
CLORHEXIDINE;ISOPROPANOL	Adverse reaction	-3.660	33	11	56.482	2194.447	male_higher	3.660
MELATONIN	Stress	-3.659	17	217	1.747	67.822	male_higher	3.659
ATOMOXETINE	Product use in unapproved indication	3.657	485	16	11.372	0.293	female_higher	3.657
ANTITHYMOCYTE IMMUNOGLOBULIN	Pneumonia aspiration	3.656	183	14	43.448	1.122	female_higher	3.656
ESTRADIOL	Accidental exposure to product	-3.652	46	26	0.249	9.586	male_higher	3.652
SALBUTAMOL	Nodule	-3.652	21	245	0.518	19.973	male_higher	3.652
MAGNESIUM	Pulmonary embolism	-3.649	11	184	0.464	17.843	male_higher	3.649
